8;3341185
taboo
portion:5	Tenure:30	long mem:100
0;3423967
1;3389711
2;3365201
3;3353955
4;3353955
5;3347019
6;3347019
7;3347019
8;3347019
9;3347019
10;3347019
11;3347019
12;3347019
13;3344974
14;3344974
15;3338839
16;3336794
17;3336794
18;3336794
19;3336794
20;3334749
21;3334749
22;3334749
23;3334749
24;3334749
25;3334749
26;3334749
27;3334749
28;3334749
29;3334749
30;3334749
31;3334749
32;3334749
33;3334749
34;3334749
35;3334749
36;3334749
37;3334749
38;3334749
39;3332987
40;3329921
41;3325840
42;3319699
43;3317654
44;3315609
45;3315609
46;3315609
47;3315609
48;3307426
49;3307426
50;3307426
51;3307426
52;3307426
53;3305381
54;3305381
55;3305381
56;3305381
57;3305381
58;3305381
59;3303336
60;3303336
61;3303336
62;3303336
63;3303336
64;3303336
65;3303336
66;3303336
67;3303336
68;3303336
69;3303336
70;3303336
71;3303336
72;3303336
73;3303336
74;3303336
75;3303336
76;3303336
77;3303336
78;3303336
79;3303336
80;3303336
81;3303336
82;3303336
83;3303336
84;3303336
85;3303336
86;3303336
87;3303336
88;3303336
89;3303336
90;3303336
91;3303336
92;3303336
93;3303336
94;3303336
95;3300270
96;3300270
97;3300270
98;3300270
99;3300270
taboo
portion:6	Tenure:30	long mem:100
0;3456174
1;3456174
2;3440531
3;3422126
4;3386253
5;3359842
6;3348852
7;3342717
8;3342714
9;3335055
10;3322285
11;3316150
12;3313084
13;3313084
14;3313084
15;3307976
16;3306952
17;3306952
18;3304907
19;3301835
20;3301835
21;3301835
22;3299790
23;3299790
24;3299790
25;3299790
26;3299790
27;3299787
28;3299787
29;3299787
30;3299787
31;3299787
32;3299787
33;3299787
34;3299787
35;3297742
36;3297742
37;3295697
38;3294679
39;3294679
40;3294679
41;3294679
42;3292634
43;3292634
44;3292634
45;3286499
46;3286499
47;3286499
48;3286499
49;3286499
50;3286499
51;3286499
52;3286499
53;3286499
54;3286499
55;3286499
56;3286499
57;3286499
58;3286499
59;3286499
60;3286499
61;3286499
62;3286499
63;3286499
64;3286499
65;3286499
66;3286499
67;3286499
68;3286499
69;3286499
70;3286499
71;3286499
72;3286499
73;3286499
74;3284457
75;3284457
76;3284457
77;3284457
78;3284457
79;3284457
80;3284457
81;3284457
82;3284457
83;3284457
84;3284457
85;3284457
86;3282412
87;3282412
88;3282412
89;3282412
90;3282412
91;3280367
92;3280367
93;3280367
94;3278322
95;3278322
96;3278322
97;3278322
98;3278322
99;3278322
taboo
portion:7	Tenure:30	long mem:100
0;3519355
1;3495139
2;3466045
3;3450709
4;3450709
5;3450709
6;3450709
7;3450709
8;3450709
9;3448664
10;3448664
11;3448664
12;3448664
13;3448664
14;3448664
15;3442529
16;3442529
17;3442529
18;3442529
19;3440484
20;3440484
21;3440484
22;3440484
23;3440484
24;3440484
25;3440484
26;3440484
27;3440484
28;3440484
29;3437939
30;3432825
31;3430780
32;3430780
33;3430780
34;3430780
35;3428735
36;3428735
37;3428735
38;3428735
39;3428735
40;3428735
41;3428735
42;3426684
43;3426684
44;3426684
45;3420549
46;3418504
47;3418504
48;3418504
49;3418504
50;3416459
51;3416459
52;3416459
53;3416459
54;3416459
55;3416459
56;3416459
57;3416459
58;3416459
59;3416459
60;3416459
61;3416459
62;3416459
63;3416459
64;3416459
65;3414414
66;3414414
67;3414414
68;3414414
69;3414414
70;3414414
71;3414414
72;3414414
73;3414414
74;3414414
75;3414414
76;3414414
77;3414414
78;3414414
79;3410324
80;3410324
81;3410324
82;3410324
83;3410324
84;3410324
85;3410324
86;3410324
87;3410324
88;3410324
89;3410324
90;3410324
91;3410324
92;3410324
93;3410324
94;3410324
95;3410324
96;3410324
97;3410324
98;3410324
99;3410324
taboo
portion:8	Tenure:30	long mem:100
0;3453879
1;3453879
2;3453879
3;3453879
4;3441272
5;3425930
6;3403429
7;3403429
8;3403429
9;3403429
10;3403429
11;3401384
12;3399339
13;3397294
14;3397294
15;3396270
